model_name,unseen_target_class_l3,molecule_class_pairs,unique_molecules,mean_max_pchembl_value,median_max_pchembl_value,mean_activity_records,mean_unique_targets,top1_softmax_mean_known_class,top1_softmax_mean_probability,top2_softmax_mean_known_class,top2_softmax_mean_probability,top3_softmax_mean_known_class,top3_softmax_mean_probability,mean_top1_softmax_probability,median_top1_softmax_probability,mean_softmax_entropy,fraction_confident_ge_0_50,fraction_confident_ge_0_70,fraction_confident_ge_0_90,top1_per_molecule_softmax_mode,top1_centroid_cosine_known_class,top1_centroid_cosine_similarity,top2_centroid_cosine_known_class,top2_centroid_cosine_similarity,top3_centroid_cosine_known_class,top3_centroid_cosine_similarity,top1_centroid_euclidean_known_class,top1_centroid_euclidean_distance,top2_centroid_euclidean_known_class,top2_centroid_euclidean_distance,top3_centroid_euclidean_known_class,top3_centroid_euclidean_distance,mean_nearest_centroid_cosine_similarity,top1_per_molecule_centroid_mode
v3_cluster,Taste receptor (taste family GPCR),477,477,6.229308176100628,6.16,1.2431865828092243,1.0566037735849056,Bromodomain,0.25589609146118164,Voltage-gated calcium channel,0.24059750139713287,Transient receptor potential channel,0.1970277577638626,0.7477513,0.77653307,0.72631043,0.8490566037735849,0.5870020964360587,0.3270440251572327,Bromodomain,Voltage-gated calcium channel,0.7208369970321655,Transient receptor potential channel,0.6300632953643799,Bromodomain,0.5790213942527771,Bromodomain,7.332475662231445,Transient receptor potential channel,7.724324703216553,P2X receptor,8.183736801147461,0.78375715,Voltage-gated calcium channel
v3_cluster,YEATS domain,145,145,6.774206896551724,6.75,2.0551724137931036,1.3517241379310345,Voltage-gated calcium channel,0.32586103677749634,Bromodomain,0.16420629620552063,Transient receptor potential channel,0.14620596170425415,0.7263226,0.74619627,0.8036041,0.7931034482758621,0.593103448275862,0.30344827586206896,Voltage-gated calcium channel,Voltage-gated calcium channel,0.7846260666847229,Transient receptor potential channel,0.5890755653381348,Bromodomain,0.5450154542922974,Bromodomain,7.501404762268066,Transient receptor potential channel,8.036893844604492,Voltage-gated sodium channel,8.34447193145752,0.7848428,Voltage-gated calcium channel
v4_controlled_similarity,Aspartic protease,241,241,7.147800829875518,7.02,1.045643153526971,1.012448132780083,Voltage-gated calcium channel,0.3590223789215088,Transient receptor potential channel,0.24851146340370178,Bromodomain,0.12082608789205551,0.8966498,0.97040224,0.3415958,0.966804979253112,0.8547717842323651,0.7095435684647303,Voltage-gated calcium channel,Voltage-gated calcium channel,0.881869912147522,Transient receptor potential channel,0.61940598487854,Serine protease,0.45699751377105713,Transient receptor potential channel,7.971328258514404,P2X receptor,9.017589569091797,Bromodomain,9.090702056884766,0.85061425,Voltage-gated calcium channel
v4_controlled_similarity,Cysteine protease,175,175,5.739199999999999,5.7,1.2514285714285713,1.0,Transient receptor potential channel,0.41409727931022644,P2X receptor,0.1977912038564682,Voltage-gated calcium channel,0.11313685029745102,0.8030605,0.8888798,0.56830615,0.88,0.6971428571428572,0.49142857142857144,Transient receptor potential channel,Transient receptor potential channel,0.7619803547859192,Voltage-gated calcium channel,0.640679121017456,Plant homeodomain,0.5656230449676514,Transient receptor potential channel,6.694016933441162,P2X receptor,7.792440414428711,Bromodomain,8.393533706665039,0.8004137,Transient receptor potential channel
v4_controlled_similarity,DNA methyltransferase,293,293,5.534641638225256,5.36,1.2081911262798635,1.075085324232082,Protein methyltransferase,0.2380957007408142,Transient receptor potential channel,0.23230314254760742,Bromodomain,0.1723826378583908,0.79982966,0.8914856,0.5809653,0.863481228668942,0.6962457337883959,0.4880546075085324,Transient receptor potential channel,Protein methyltransferase,0.6961193680763245,Transient receptor potential channel,0.6783003807067871,Plant homeodomain,0.580074667930603,Transient receptor potential channel,7.449435234069824,Bromodomain,7.489975452423096,P2X receptor,7.951225280761719,0.81445104,Protein methyltransferase
v4_controlled_similarity,Endoplasmic reticular retrotranslocon family,591,591,6.500964467005075,6.52,1.1844331641285957,1.0,Transient receptor potential channel,0.3128858506679535,Bromodomain,0.2905106246471405,P2X receptor,0.13153856992721558,0.7371797,0.77247363,0.7809147,0.8104906937394247,0.5786802030456852,0.3401015228426396,Transient receptor potential channel,Transient receptor potential channel,0.7436790466308594,Bromodomain,0.6102031469345093,Plant homeodomain,0.5593212842941284,Transient receptor potential channel,6.920652389526367,Bromodomain,7.227230548858643,P2X receptor,7.834705352783203,0.7642127,Transient receptor potential channel
v4_controlled_similarity,GABA-A receptor,939,939,7.722907348242811,7.79,1.4014909478168265,1.308839190628328,Voltage-gated sodium channel,0.4676440358161926,Transient receptor potential channel,0.19554033875465393,Bromodomain,0.13244378566741943,0.8355515,0.92364556,0.49152508,0.9158679446219382,0.7646432374866879,0.5452609158679447,Voltage-gated sodium channel,Voltage-gated sodium channel,0.7412911653518677,Transient receptor potential channel,0.6551920175552368,Bromodomain,0.5125857591629028,Voltage-gated sodium channel,6.431875705718994,Transient receptor potential channel,7.633214473724365,Bromodomain,7.915865421295166,0.81138045,Voltage-gated sodium channel
v4_controlled_similarity,Protein kinase regulatory subunit,224,224,6.305357142857143,6.055,1.15625,1.1160714285714286,Protein Kinase,0.39159008860588074,P2X receptor,0.22544169425964355,Bromodomain,0.16722963750362396,0.7466683,0.7771751,0.717727,0.8660714285714286,0.6205357142857143,0.33035714285714285,Protein Kinase,Protein Kinase,0.8270471096038818,P2X receptor,0.5971207618713379,Protein methyltransferase,0.5185593366622925,P2X receptor,7.283716201782227,Bromodomain,8.060162544250488,Voltage-gated sodium channel,9.459364891052246,0.80156195,Protein Kinase
v4_controlled_similarity,Protein-glutamine glutamyl-transferase,471,471,6.299065817409765,6.32,1.683651804670913,1.443736730360934,Transient receptor potential channel,0.3553217947483063,Bromodomain,0.1673688441514969,Plant homeodomain,0.10347211360931396,0.7741355,0.8382899,0.67149,0.8492569002123143,0.643312101910828,0.3991507430997877,Transient receptor potential channel,Transient receptor potential channel,0.7468564510345459,Plant homeodomain,0.6729986667633057,Bromodomain,0.5585228204727173,Transient receptor potential channel,6.873085021972656,Bromodomain,7.607381343841553,P2X receptor,8.450278282165527,0.79240984,Transient receptor potential channel
v4_controlled_similarity,Ryanodine receptor,124,124,6.949193548387097,6.99,1.0806451612903225,1.032258064516129,Bromodomain,0.2431066483259201,Transient receptor potential channel,0.22833548486232758,Voltage-gated calcium channel,0.19779665768146515,0.7234169,0.7768951,0.7955807,0.75,0.5806451612903226,0.3064516129032258,Bromodomain,Voltage-gated calcium channel,0.6562134027481079,Transient receptor potential channel,0.632796049118042,Bromodomain,0.5990276336669922,Bromodomain,7.336304664611816,Transient receptor potential channel,7.789195537567139,P2X receptor,8.167706489562988,0.771647,Voltage-gated calcium channel
