unseen_target_class_l3,known_target_class_l3,unseen_molecules,known_molecules,mean_nearest_tanimoto,median_nearest_tanimoto,std_nearest_tanimoto,min_nearest_tanimoto,q25_nearest_tanimoto,q75_nearest_tanimoto,q90_nearest_tanimoto,max_nearest_tanimoto,fraction_ge_0.30,fraction_ge_0.40,fraction_ge_0.50,fraction_ge_0.60,fraction_ge_0.70,rank_by_median_nearest_tanimoto,rank_by_mean_nearest_tanimoto
DNA methyltransferase,5HT3 receptor,293,1065,0.24864931404590607,0.2368421107530594,0.060317132622003555,0.09302325546741486,0.2028985470533371,0.28735631704330444,0.3333333432674408,0.4642857015132904,0.18771331058020477,0.020477815699658702,0.0,0.0,0.0,8,8
Endoplasmic reticular retrotranslocon family,Bromodomain,591,10663,0.2933479845523834,0.28947368264198303,0.036948684602975845,0.15909090638160706,0.26752376556396484,0.3132530152797699,0.3417721390724182,0.574999988079071,0.3790186125211506,0.005076142131979695,0.001692047377326565,0.0,0.0,2,2
Endoplasmic reticular retrotranslocon family,P2X receptor,591,10307,0.27485984563827515,0.2702702581882477,0.03539203107357025,0.14000000059604645,0.25,0.29487180709838867,0.3199999928474426,0.4354838728904724,0.21996615905245348,0.001692047377326565,0.0,0.0,0.0,3,3
Endoplasmic reticular retrotranslocon family,Voltage-gated sodium channel,591,9469,0.2664140462875366,0.2584269642829895,0.03970985859632492,0.1428571492433548,0.23623737692832947,0.2905101180076599,0.3243243098258972,0.4264705777168274,0.19796954314720813,0.00676818950930626,0.0,0.0,0.0,6,6
Endoplasmic reticular retrotranslocon family,Transient receptor potential channel,591,8550,0.29638636112213135,0.2906976640224457,0.04948421195149422,0.17391304671764374,0.26923078298568726,0.3141196072101593,0.35483869910240173,0.5471698045730591,0.39086294416243655,0.050761421319796954,0.00338409475465313,0.0,0.0,1,1
Endoplasmic reticular retrotranslocon family,Protein methyltransferase,591,2591,0.2600422501564026,0.2574257552623749,0.04565533623099327,0.14000000059604645,0.23042887449264526,0.29056960344314575,0.31460675597190857,0.5098039507865906,0.1793570219966159,0.001692047377326565,0.001692047377326565,0.0,0.0,7,7
Endoplasmic reticular retrotranslocon family,Serine protease,591,2529,0.2352868616580963,0.23333333432674408,0.03314169496297836,0.1428571492433548,0.21176470816135406,0.25773194432258606,0.27586206793785095,0.41025641560554504,0.03553299492385787,0.001692047377326565,0.0,0.0,0.0,10,10
Endoplasmic reticular retrotranslocon family,Voltage-gated calcium channel,591,2036,0.2525179088115692,0.24731183052062988,0.03925657272338867,0.1269841343164444,0.2277451902627945,0.2777777910232544,0.3076923191547394,0.36666667461395264,0.13028764805414553,0.0,0.0,0.0,0.0,9,9
Endoplasmic reticular retrotranslocon family,Plant homeodomain,591,2021,0.2688157558441162,0.2626262605190277,0.04374668747186661,0.16304348409175873,0.23749999701976776,0.28880906105041504,0.3214285671710968,0.5833333134651184,0.20135363790186125,0.01015228426395939,0.00338409475465313,0.0,0.0,4,4
Endoplasmic reticular retrotranslocon family,Protein Kinase,591,1582,0.26642027497291565,0.260869562625885,0.05024472251534462,0.12244898080825806,0.2367006242275238,0.2896643877029419,0.3246753215789795,0.6034482717514038,0.20642978003384094,0.01353637901861252,0.005076142131979695,0.00338409475465313,0.0,5,5
Endoplasmic reticular retrotranslocon family,Pore-forming toxins (proteins and peptides),591,1394,0.2320956289768219,0.22727273404598236,0.034244999289512634,0.12820513546466827,0.20773398876190186,0.25333333015441895,0.2777777910232544,0.3529411852359772,0.03553299492385787,0.0,0.0,0.0,0.0,11,11
Endoplasmic reticular retrotranslocon family,5HT3 receptor,591,1065,0.25991201400756836,0.2571428716182709,0.04277432709932327,0.1111111119389534,0.23529411852359772,0.2836829423904419,0.3164556920528412,0.4137931168079376,0.16751269035532995,0.001692047377326565,0.0,0.0,0.0,8,8
GABA-A receptor,Bromodomain,939,10663,0.2993597388267517,0.2985074520111084,0.05854720622301102,0.06666667014360428,0.2631579041481018,0.3316151201725006,0.36854636669158936,0.7659574747085571,0.49307774227902024,0.03194888178913738,0.004259850905218318,0.002129925452609159,0.002129925452609159,3,3
GABA-A receptor,P2X receptor,939,10307,0.28615111112594604,0.28260868787765503,0.04784838482737541,0.0882352963089943,0.260869562625885,0.31578946113586426,0.3429131805896759,0.6666666865348816,0.3588924387646432,0.013844515441959531,0.0010649627263045794,0.0010649627263045794,0.0,4,4
GABA-A receptor,Voltage-gated sodium channel,939,9469,0.3137786090373993,0.3214285671710968,0.06306780874729156,0.056603774428367615,0.275043785572052,0.3604651093482971,0.38372093439102173,0.4864864945411682,0.6347177848775293,0.05324813631522897,0.0,0.0,0.0,1,1
GABA-A receptor,Transient receptor potential channel,939,8550,0.3026560842990875,0.30000001192092896,0.056778743863105774,0.07407407462596893,0.2638888955116272,0.3452380895614624,0.3684210479259491,0.7837837934494019,0.5111821086261981,0.0308839190628328,0.002129925452609159,0.0010649627263045794,0.0010649627263045794,2,2
GABA-A receptor,Protein methyltransferase,939,2591,0.23972170054912567,0.24418604373931885,0.03413034975528717,0.07407407462596893,0.2233526110649109,0.262317955493927,0.2772277295589447,0.3372093141078949,0.024494142705005325,0.0,0.0,0.0,0.0,7,9
GABA-A receptor,Serine protease,939,2529,0.22912102937698364,0.23076923191547394,0.033676449209451675,0.05999999865889549,0.21052631735801697,0.24770642817020416,0.26744186878204346,0.36000001430511475,0.024494142705005325,0.0,0.0,0.0,0.0,10,11
GABA-A receptor,Voltage-gated calcium channel,939,2036,0.25296175479888916,0.24468085169792175,0.04243036359548569,0.06976744532585144,0.2247191071510315,0.283867210149765,0.3086782693862915,0.4264705777168274,0.17358892438764642,0.0010649627263045794,0.0,0.0,0.0,6,5
GABA-A receptor,Plant homeodomain,939,2021,0.25182220339775085,0.2542372941970825,0.04067714884877205,0.056603774428367615,0.22535210847854614,0.27710843086242676,0.29873114824295044,0.40425533056259155,0.09904153354632587,0.002129925452609159,0.0,0.0,0.0,5,6
GABA-A receptor,Protein Kinase,939,1582,0.24600602686405182,0.24418604373931885,0.044810403138399124,0.06896551698446274,0.21816976368427277,0.2708333432674408,0.3024665117263794,0.38461539149284363,0.11182108626198083,0.0,0.0,0.0,0.0,7,7
GABA-A receptor,Pore-forming toxins (proteins and peptides),939,1394,0.2326003760099411,0.23170731961727142,0.03554752469062805,0.05000000074505806,0.2110091745853424,0.253248929977417,0.2755805552005768,0.3636363744735718,0.042598509052183174,0.0,0.0,0.0,0.0,9,10
GABA-A receptor,5HT3 receptor,939,1065,0.2410232126712799,0.23999999463558197,0.0418231338262558,0.07407407462596893,0.2142857164144516,0.2637362778186798,0.29230770468711853,0.4067796468734741,0.07135250266240682,0.003194888178913738,0.0,0.0,0.0,8,8
Protein kinase regulatory subunit,Bromodomain,224,10663,0.28109994530677795,0.26983147859573364,0.045208659023046494,0.20930232107639313,0.2471579611301422,0.3139534890651703,0.33834585547447205,0.4588235318660736,0.32142857142857145,0.013392857142857142,0.0,0.0,0.0,1,1
Protein kinase regulatory subunit,P2X receptor,224,10307,0.24604356288909912,0.24137930572032928,0.029487965628504753,0.1875,0.223300963640213,0.2668604850769043,0.2906976640224457,0.3283582031726837,0.03571428571428571,0.0,0.0,0.0,0.0,6,6
Protein kinase regulatory subunit,Voltage-gated sodium channel,224,9469,0.252165824174881,0.25,0.03765067830681801,0.1666666716337204,0.22499999403953552,0.2738095223903656,0.30825120210647583,0.3764705955982208,0.11607142857142858,0.0,0.0,0.0,0.0,4,4
Protein kinase regulatory subunit,Transient receptor potential channel,224,8550,0.2573080360889435,0.2529428005218506,0.04064405336976051,0.1794871836900711,0.22964270412921906,0.27915528416633606,0.30263158679008484,0.4107142984867096,0.12053571428571429,0.004464285714285714,0.0,0.0,0.0,3,3
Protein kinase regulatory subunit,Protein methyltransferase,224,2591,0.23667189478874207,0.22926223278045654,0.03876211494207382,0.17499999701976776,0.21260477602481842,0.25294631719589233,0.2824881970882416,0.44736841320991516,0.06696428571428571,0.008928571428571428,0.0,0.0,0.0,8,8
Protein kinase regulatory subunit,Serine protease,224,2529,0.20943143963813782,0.20430107414722443,0.03349950164556503,0.15315315127372742,0.1859266310930252,0.22376951575279236,0.2556003928184509,0.32499998807907104,0.004464285714285714,0.0,0.0,0.0,0.0,11,11
Protein kinase regulatory subunit,Voltage-gated calcium channel,224,2036,0.2190674990415573,0.2128644585609436,0.03366013616323471,0.16304348409175873,0.1955196112394333,0.23561036586761475,0.26239076256752014,0.34246575832366943,0.04017857142857143,0.0,0.0,0.0,0.0,10,10
Protein kinase regulatory subunit,Plant homeodomain,224,2021,0.2438056468963623,0.2383657991886139,0.03520743176341057,0.17241379618644714,0.21686747670173645,0.2631579041481018,0.2946455478668213,0.4032258093357086,0.06696428571428571,0.004464285714285714,0.0,0.0,0.0,7,7
Protein kinase regulatory subunit,Protein Kinase,224,1582,0.2728309631347656,0.25581395626068115,0.07741802930831909,0.16326530277729034,0.22983944416046143,0.28743505477905273,0.3567148447036743,0.7260273694992065,0.20982142857142858,0.049107142857142856,0.03125,0.008928571428571428,0.008928571428571428,2,2
Protein kinase regulatory subunit,Pore-forming toxins (proteins and peptides),224,1394,0.24810972809791565,0.2469135820865631,0.03547944128513336,0.14772726595401764,0.2276102602481842,0.27061036229133606,0.28947368264198303,0.3815789520740509,0.0625,0.0,0.0,0.0,0.0,5,5
Protein kinase regulatory subunit,5HT3 receptor,224,1065,0.22687871754169464,0.2208547294139862,0.040011148899793625,0.14606741070747375,0.20424622297286987,0.24634377658367157,0.27120453119277954,0.4285714328289032,0.05803571428571429,0.004464285714285714,0.0,0.0,0.0,9,9
Protein-glutamine glutamyl-transferase,Bromodomain,471,10663,0.3090108335018158,0.30612245202064514,0.06813035160303116,0.1690140813589096,0.27586206793785095,0.3333333432674408,0.37142857909202576,0.75,0.554140127388535,0.06157112526539278,0.016985138004246284,0.008492569002123142,0.006369426751592357,2,2
Protein-glutamine glutamyl-transferase,P2X receptor,471,10307,0.3008047342300415,0.29411765933036804,0.057725027203559875,0.1551724076271057,0.2611165940761566,0.3333333432674408,0.37704917788505554,0.5128205418586731,0.4607218683651805,0.07006369426751592,0.0021231422505307855,0.0,0.0,4,3
Protein-glutamine glutamyl-transferase,Voltage-gated sodium channel,471,9469,0.29013577103614807,0.28688523173332214,0.06097900867462158,0.15584415197372437,0.25,0.32163381576538086,0.3580246865749359,0.650602400302887,0.40764331210191085,0.027600849256900213,0.010615711252653927,0.006369426751592357,0.0,5,5
Protein-glutamine glutamyl-transferase,Transient receptor potential channel,471,8550,0.3236028254032135,0.31481480598449707,0.07410737127065659,0.18627451360225677,0.27408307790756226,0.3589743673801422,0.42168673872947693,0.7037037014961243,0.5966029723991507,0.14437367303609341,0.025477707006369428,0.006369426751592357,0.0021231422505307855,1,1
Protein-glutamine glutamyl-transferase,Protein methyltransferase,471,2591,0.25872811675071716,0.24770642817020416,0.0579824261367321,0.14666666090488434,0.2295081913471222,0.27615493535995483,0.3076923191547394,0.6758620738983154,0.12101910828025478,0.02335456475583864,0.010615711252653927,0.008492569002123142,0.0,8,8
Protein-glutamine glutamyl-transferase,Serine protease,471,2529,0.29090210795402527,0.29729729890823364,0.060854341834783554,0.15625,0.23660019040107727,0.3333333432674408,0.364705890417099,0.44915252923965454,0.4840764331210191,0.036093418259023353,0.0,0.0,0.0,3,4
Protein-glutamine glutamyl-transferase,Voltage-gated calcium channel,471,2036,0.28278931975364685,0.2769230902194977,0.04904971271753311,0.1666666716337204,0.250984251499176,0.30687445402145386,0.3333333432674408,0.5820895433425903,0.30148619957537154,0.021231422505307854,0.008492569002123142,0.0,0.0,6,6
Protein-glutamine glutamyl-transferase,Plant homeodomain,471,2021,0.27074018120765686,0.26436781883239746,0.060279496014118195,0.1428571492433548,0.23943662643432617,0.2932908535003662,0.3176470696926117,0.739130437374115,0.19957537154989385,0.027600849256900213,0.010615711252653927,0.008492569002123142,0.0021231422505307855,7,7
Protein-glutamine glutamyl-transferase,Protein Kinase,471,1582,0.24003157019615173,0.23529411852359772,0.04013359174132347,0.13265305757522583,0.2142857164144516,0.26500600576400757,0.29113924503326416,0.42553192377090454,0.07006369426751592,0.0021231422505307855,0.0,0.0,0.0,10,10
Protein-glutamine glutamyl-transferase,Pore-forming toxins (proteins and peptides),471,1394,0.23836642503738403,0.23232322931289673,0.04897579923272133,0.13698630034923553,0.2010101079940796,0.2688172161579132,0.30927833914756775,0.3804347813129425,0.12526539278131635,0.0,0.0,0.0,0.0,11,11
Protein-glutamine glutamyl-transferase,5HT3 receptor,471,1065,0.2473347932100296,0.2469135820865631,0.0435020849108696,0.13571429252624512,0.2208547294139862,0.26944684982299805,0.2954545319080353,0.5128205418586731,0.08917197452229299,0.0021231422505307855,0.0021231422505307855,0.0,0.0,9,9
